
Rate modification view 1:

			Reaction			 Modification Factor 
co74 -> n + n + ni72 + electron + anti-neutrino_e        0.0000e+00
co74 -> n + ni73 + electron + anti-neutrino_e            0.0000e+00
co75 -> n + n + ni73 + electron + anti-neutrino_e        0.0000e+00
co75 -> n + ni74 + electron + anti-neutrino_e            0.0000e+00
co76 -> n + n + ni74 + electron + anti-neutrino_e        0.0000e+00
co76 -> n + ni75 + electron + anti-neutrino_e            0.0000e+00
co77 -> n + n + n + ni74 + electron + anti-neutrino_e    0.0000e+00
co77 -> n + n + ni75 + electron + anti-neutrino_e        0.0000e+00
co77 -> n + ni76 + electron + anti-neutrino_e            0.0000e+00
co78 -> n + n + n + ni75 + electron + anti-neutrino_e    0.0000e+00
co78 -> n + n + ni76 + electron + anti-neutrino_e        0.0000e+00
co78 -> n + ni77 + electron + anti-neutrino_e            0.0000e+00
co79 -> n + n + n + ni76 + electron + anti-neutrino_e    0.0000e+00
co79 -> n + n + ni77 + electron + anti-neutrino_e        0.0000e+00
co79 -> n + ni78 + electron + anti-neutrino_e            0.0000e+00
co80 -> n + n + n + ni77 + electron + anti-neutrino_e    0.0000e+00
co80 -> n + n + ni78 + electron + anti-neutrino_e        0.0000e+00
co80 -> n + ni79 + electron + anti-neutrino_e            0.0000e+00
co81 -> n + n + n + ni78 + electron + anti-neutrino_e    0.0000e+00
co81 -> n + n + ni79 + electron + anti-neutrino_e        0.0000e+00
co81 -> n + ni80 + electron + anti-neutrino_e            0.0000e+00
co82 -> n + n + n + ni79 + electron + anti-neutrino_e    0.0000e+00
co82 -> n + n + ni80 + electron + anti-neutrino_e        0.0000e+00
co82 -> n + ni81 + electron + anti-neutrino_e            0.0000e+00
co83 -> n + n + n + ni80 + electron + anti-neutrino_e    0.0000e+00
co83 -> n + n + ni81 + electron + anti-neutrino_e        0.0000e+00
co83 -> n + ni82 + electron + anti-neutrino_e            0.0000e+00
co84 -> n + ni83 + electron + anti-neutrino_e            0.0000e+00
co85 -> n + n + ni83 + electron + anti-neutrino_e        0.0000e+00
co85 -> n + ni84 + electron + anti-neutrino_e            0.0000e+00
co86 -> n + ni85 + electron + anti-neutrino_e            0.0000e+00
co87 -> n + n + ni85 + electron + anti-neutrino_e        0.0000e+00
co87 -> n + ni86 + electron + anti-neutrino_e            0.0000e+00
co88 -> n + ni87 + electron + anti-neutrino_e            0.0000e+00
co89 -> n + n + ni87 + electron + anti-neutrino_e        0.0000e+00
co89 -> n + ni88 + electron + anti-neutrino_e            0.0000e+00
co90 -> n + ni89 + electron + anti-neutrino_e            0.0000e+00
co91 -> n + n + ni89 + electron + anti-neutrino_e        0.0000e+00
co91 -> n + ni90 + electron + anti-neutrino_e            0.0000e+00
